fullName,ID,email,phone,spa,fare
Laura Sánchez García,58379264Z,laura.sanchez9@gmail.com,600294857,Spa Relaxing Valencia,150
José Díaz López,94857263X,jose.diaz9@gmail.com,600384759,Spa Relaxing Madrid,199
Carmen Ramírez Hernández,59384726X,carmen.ramirez9@gmail.com,600203948,Spa Relaxing Barcelona,90
Juan Pérez González,58379264Y,juan.perez10@gmail.com,600293847,Spa Relaxing Sevilla,199
Ana Gómez López,94857263Z,ana.gomez10@gmail.com,600394857,Spa Relaxing Valencia,90
Luis Martínez Hernández,59384726X,luis.martinez10@gmail.com,600938475,Spa Relaxing Madrid,50
María Rodríguez García,58379264Y,maria.rodriguez10@gmail.com,600473829,Spa Relaxing Barcelona,199
Carlos Fernández López,94857263Y,carlos.fernandez10@gmail.com,600384759,Spa Relaxing Sevilla,90
Laura Sánchez Hernández,59384726X,laura.sanchez10@gmail.com,600203948,Spa Relaxing Valencia,50
José Díaz Martínez,58379264Z,jose.diaz10@gmail.com,600294857,Spa Relaxing Madrid,150
Carmen Ramírez González,94857263X,carmen.ramirez10@gmail.com,600394857,Spa Relaxing Barcelona,90
Juan Pérez Hernández,58379264Y,juan.perez11@gmail.com,600203948,Spa Relaxing Sevilla,150
Ana Gómez García,94857263X,ana.gomez11@gmail.com,600384759,Spa Relaxing Valencia,90
Luis Martínez López,59384726Y,luis.martinez11@gmail.com,600394857,Spa Relaxing Madrid,199
María Rodríguez Hernández,58379264Z,maria.rodriguez11@gmail.com,600938475,Spa Relaxing Barcelona,90
Carlos Fernández González,94857263X,carlos.fernandez11@gmail.com,600473829,Spa Relaxing Sevilla,150
Laura Sánchez López,59384726Y,laura.sanchez11@gmail.com,600384759,Spa Relaxing Valencia,50
José Díaz Hernández,58379264X,jose.diaz11@gmail.com,600203948,Spa Relaxing Madrid,150
Carmen Ramírez García,94857263Z,carmen.ramirez11@gmail.com,600293847,Spa Relaxing Barcelona,199
Juan Pérez González,59384726X,juan.perez12@gmail.com,600384759,Spa Relaxing Sevilla,199
Ana Gómez López,58379264Y,ana.gomez12@gmail.com,600938475,Spa Relaxing Valencia,90
Luis Martínez Hernández,94857263X,luis.martinez12@gmail.com,600473829,Spa Relaxing Madrid,90
María Rodríguez García,59384726Y,maria.rodriguez12@gmail.com,600384759,Spa Relaxing Barcelona,150
Carlos Fernández López,58379264Z,carlos.fernandez12@gmail.com,600293847,Spa Relaxing Sevilla,90
Laura Sánchez Hernández,94857263X,laura.sanchez12@gmail.com,600394857,Spa Relaxing Valencia,199
José Díaz Martínez,59384726X,jose.diaz12@gmail.com,600938475,Spa Relaxing Madrid,90
Carmen Ramírez González,58379264Y,carmen.ramirez12@gmail.com,600384759,Spa Relaxing Barcelona,50
Juan Pérez Hernández,94857263X,juan.perez13@gmail.com,600203948,Spa Relaxing Sevilla,199
Ana Gómez García,58379264Z,ana.gomez13@gmail.com,600293847,Spa Relaxing Valencia,90
Luis Martínez López,59384726Y,luis.martinez13@gmail.com,600384759,Spa Relaxing Madrid,199
